id,prompt,answer,unit,source,confidence,published_date,published_slot
"q233","How long is Italy's coastline, counting all of its islands?","7600","kilometers","CIA World Factbook coastline figures","medium","2026-08-04","3"
"q234","How many words are in the Bible?","757000","words","Word counts of the English Standard Version text","medium",,
"q235","How many shots of vodka are sold in Russia every day?","41000000","shots","Rosstat-based retail alcohol sales data reported by RBC","medium","2026-08-16","2"
"q236","How many fast food ketchup packets does it take to fill a classic glass Heinz bottle?","44","packets","Heinz foodservice portion packet spec and glass bottle spec","medium","2026-08-14","1"
"q237","If a cheetah could hold its top speed the whole way, how long would it take to run the Boston Marathon?","26","minutes","Cincinnati Zoo and Guinness World Records cheetah speed record (Sarah, 2012)","high","2026-08-05","1"
"q238","How many BIC pens would you use up drawing a line all the way around the Earth?","20000","pens","BIC Cristal product claim","medium","2026-08-10","1"
"q239","How many pips are on a full set of double-six dominoes?","168","pips","Standard double-six domino set composition","high","2026-08-12","2"
"q240","How many Rubik's Cubes would fit in the back of a Nissan Cube?","7500","Rubik's Cubes","Nissan Cube cargo volume specification and standard 5.7 cm Rubik's Cube dimensions","medium",,
"q241","Maria is the most common female name in the world. How many Marias are there?","61130000","people","Forebears.io forename index","medium","2026-08-07","2"
"q242","How many pet dogs are licensed within Chicago's city limits?","38478","licensed dogs","Chicago City Clerk registration count reported by DNAinfo Chicago, August 2013","low",,
"q243","How many actuaries are there in the United States?","33600","actuaries","U.S. Bureau of Labor Statistics, Occupational Employment and Wage Statistics","high",,
"q244","What is the global bagel market worth in 2025?","5970000000","dollars","Fortune Business Insights, Bagel Market Size, Share & Industry Report, 2025","medium",,
"q245","How long would it take to travel from Yellowknife, Canada to Mexico City on a 20 in (51 cm) diameter unicycle riding at 100 rpm?","28","days","Driving-distance aggregators (Trippy, Rome2Rio) for the Yellowknife-Mexico City road route; unicycle speed computed from wheel circumference (π × 20 in) at 100 rpm","medium",,
"q246","How many rooms are in the White House?","132","rooms","White House Historical Association","high",,
"q247","How many countries have the color red in their flag?","148","countries","Flags of the World (FOTW), Statistics on Flag Colors","high","2026-08-13","2"
"q248","How many windows does the Empire State Building have?","6514","windows","Empire State Building official facts and figures page (esbnyc.com)","high",,
"q249","How many rubber duckies could fit in a 40-foot (12 meter) shipping container?","124000","rubber duckies","ISO equipment spec sheets · Rubber duck retail dimensions","medium","2026-08-12","1"
"q250","How many minutes would it take to watch every movie Quentin Tarantino has directed?","1413","minutes","Wikipedia · Quentin Tarantino filmography (official theatrical/general-release running times)","medium",,
"q251","How many tigers are there in the wild?","5574","tigers","Global Tiger Forum / WWF joint wild tiger population estimate, announced July 2024","high",,
"q252","How much water flows over Niagara Falls every day?","65400000000","gallons","Niagara Falls State Park (New York State Parks) official flow figures","medium",,
"q253","How many guinea pigs would it take to fill a 100 meter pool?","2780000","guinea pigs","RSPCA average adult guinea pig weight guidance · FINA competition pool dimensions (100m length assumed, doubling this game's existing Olympic-pool convention from q19/q47)","medium",,
"q254","How much water does the average person drink in a lifetime?","60000","liters","WHO global life expectancy · EFSA adequate intake for total water (2010)","medium","2026-08-15","1"
"q255","How many people have played at least one game in NBA history?","5106","players","Basketball-Reference, unique players in the NBA and BAA season totals, 1946-47 through 2025-26","high","2026-08-17","2"
"q256","How many stairs are in the Burj Khalifa?","2909","steps","Emaar Properties Burj Khalifa fact sheet","high",,
"q257","How many paintings are in the world's biggest art gallery?","17000","paintings","State Hermitage Museum collection statistics (Google Arts & Culture partner page)","medium",,
"q258","How many footballs would fit inside a Subaru Crosstrek?","200","footballs","Subaru official Crosstrek cargo specifications · NFL football regulations","medium",,
"q259","How many grains of rice fit in a 500 ml (16.9 oz) water bottle?","20000","grains","USDA FoodData Central (uncooked white rice, cup measure)","medium",,
"q260","How many movies are listed on IMDb?","750000","movies","IMDb non-commercial datasets (via Wikipedia infobox)","high",,
"q261","How many games have been played in Major League Baseball history?","250000","games","MLB historical game logs (aggregated)","low",,
"q262","How old are all the people in Chicago combined?","97700000","years","U.S. Census Bureau, American Community Survey 1-Year Estimates (2024), Chicago city, Illinois","medium",,
"q263","How many home runs were hit in the 2025 MLB regular season?","5650","home runs","Baseball-Reference 2025 MLB team batting totals","high",,
"q264","Roughly how many kangaroos are there in Australia?","42000000","kangaroos","Australian Government Department of Climate Change, Energy, the Environment and Water (DCCEEW), kangaroo population estimates","medium","2026-08-14","2"
"q265","How long would it take a Formula 1 car to drive all the way around the Earth's equator?","108","hours","NASA Earth Fact Sheet ·  Formula 1 Race Stats","high","2026-08-12","3"
"q266","How much would a million quarters weigh?","12500","pounds","U.S. Mint coin specifications","high",,
"q267","How many miles of public roads are there in the United States?","4200000","miles","Federal Highway Administration, Highway Statistics 2022","high",,
"q268","How many hours does it take to drive from Augusta, Maine to Oklahoma City, Oklahoma?","29","hours","Trippy driving distance and time calculator","medium",,
"q269","What is the average cruising flight speed of a barn swallow, the real bird behind Monty Python's 'unladen swallow' joke?","18","mph","Blake & Kolotylo, 'Flight speeds of the barn swallow, Hirundo rustica,' Canadian Journal of Zoology (1990), Doppler radar field measurements","low",,
"q270","How many cups of espresso do Italians drink every day?","100000000","cups","Istituto Espresso Italiano, as reported by ANSA (October 2025)","medium",,
"q271","How many tires does the LEGO Group produce in a single day?","840000","tires","Guinness World Records, Largest annual volume toy tyre manufacturer ever (The LEGO Group)","high","2026-08-13","1"
"q272","How many people worldwide need a wheelchair to get around?","80000000","people","World Health Organization wheelchair provision guidelines","high","2026-08-13","3"
"q273","How many cans of soda are drunk in the U.S. each day?","350000000","cans","Beverage Marketing Corporation per-capita carbonated soft drink data, via Beverage Industry (2024)","medium",,
"q274","How many people are watching Netflix at any given moment?","22000000","people","Netflix's Engagement Report","medium","2026-08-11","1"
"q275","How many $1 bills are currently in circulation in the United States?","15200000000","bills","Federal Reserve Board, Volume of Currency in Circulation report","high",,
